,Assignment group in first grade,Assignment group in first grade,Assignment group in first grade
,Small,Regular,Aide
Actual class size in first grade,,,
12,24.0,0.0,0.0
13,182.0,0.0,0.0
14,252.0,0.0,0.0
15,465.0,0.0,0.0
16,256.0,16.0,0.0
17,561.0,17.0,0.0
18,108.0,36.0,0.0
19,57.0,76.0,57.0
20,20.0,200.0,120.0
21,0.0,378.0,378.0
22,0.0,594.0,330.0
23,0.0,437.0,460.0
24,0.0,384.0,264.0
25,0.0,175.0,225.0
26,0.0,130.0,234.0
27,0.0,54.0,108.0
28,0.0,28.0,56.0
29,0.0,29.0,58.0
30,0.0,30.0,30.0
Average class size,23.4,15.7,22.7
