,OLS: actual class size,OLS: actual class size,OLS: actual class size,OLS: actual class size,Reduced form: initial class size,Reduced form: initial class size,Reduced form: initial class size,Reduced form: initial class size
,1,2,3,4,5,6,7,8
"('Small class', 'coef')",4.78,5.36,5.36,,4.78,5.36,5.36,
"('Small class', 'se')",0.88,0.79,0.75,,0.88,0.79,0.75,
"('Regular/aide class', 'coef')",0.03,0.19,0.42,,0.03,0.19,0.42,
"('Regular/aide class', 'se')",0.83,0.73,0.7,,0.83,0.73,0.7,
"('White/Asian (1 = yes)', 'coef')",,,8.52,,,,8.52,
"('White/Asian (1 = yes)', 'se')",,,1.26,,,,1.26,
"('Girl (1 = yes)', 'coef')",,,4.46,,,,4.46,
"('Girl (1 = yes)', 'se')",,,0.59,,,,0.59,
"('Free lunch (1 = yes)', 'coef')",,,-13.13,,,,-13.13,
"('Free lunch (1 = yes)', 'se')",,,0.73,,,,0.73,
"('White teacher', 'coef')",,,,,,,,
"('White teacher', 'se')",,,,,,,,
"('Male teacher', 'coef')",,,,,,,,
"('Male teacher', 'se')",,,,,,,,
"('Teacher experience', 'coef')",,,,,,,,
"('Teacher experience', 'se')",,,,,,,,
"(""Master's Degree"", 'coef')",,,,,,,,
"(""Master's Degree"", 'se')",,,,,,,,
School fixed effects,No,Yes,Yes,,No,Yes,Yes,
R2,0.01,0.24,0.3,,0.01,0.24,0.3,
"('Small class', 'coef')",8.65,8.36,7.93,7.43,7.5,6.97,6.67,6.26
"('Small class', 'se')",0.79,0.72,0.69,0.71,0.82,0.74,0.71,0.72
"('Regular/aide class', 'coef')",3.42,2.21,2.22,1.81,1.86,1.57,1.57,1.44
"('Regular/aide class', 'se')",0.76,0.68,0.66,0.67,0.74,0.67,0.64,0.64
"('White/Asian (1 = yes)', 'coef')",,,7.0,6.99,,,6.89,6.87
"('White/Asian (1 = yes)', 'se')",,,1.07,1.08,,,1.08,1.08
"('Girl (1 = yes)', 'coef')",,,3.67,3.7,,,3.64,3.68
"('Girl (1 = yes)', 'se')",,,0.55,0.55,,,0.55,0.55
"('Free lunch (1 = yes)', 'coef')",,,-12.44,-12.56,,,-12.6,-12.72
"('Free lunch (1 = yes)', 'se')",,,0.68,0.68,,,0.68,0.68
"('White teacher', 'coef')",,,,-4.27,,,,-4.39
"('White teacher', 'se')",,,,1.02,,,,1.02
"('Male teacher', 'coef')",,,,12.31,,,,13.6
"('Male teacher', 'se')",,,,3.78,,,,3.72
"('Teacher experience', 'coef')",,,,0.04,,,,0.06
"('Teacher experience', 'se')",,,,0.04,,,,0.04
"(""Master's Degree"", 'coef')",,,,0.31,,,,0.44
"(""Master's Degree"", 'se')",,,,0.68,,,,0.68
School fixed effects,No,Yes,Yes,Yes,No,Yes,Yes,Yes
R2,0.02,0.24,0.29,0.3,0.01,0.23,0.29,0.29
"('Small class', 'coef')",5.6,,,,5.26,,,
"('Small class', 'se')",0.81,,,,0.83,,,
"('Regular/aide class', 'coef')",1.07,,,,-0.08,,,
"('Regular/aide class', 'se')",0.77,,,,0.75,,,
"('White/Asian (1 = yes)', 'coef')",,,,,,,,
"('White/Asian (1 = yes)', 'se')",,,,,,,,
"('Girl (1 = yes)', 'coef')",,,,,,,,
"('Girl (1 = yes)', 'se')",,,,,,,,
"('Free lunch (1 = yes)', 'coef')",,,,,,,,
"('Free lunch (1 = yes)', 'se')",,,,,,,,
"('White teacher', 'coef')",,,,,,,,
"('White teacher', 'se')",,,,,,,,
"('Male teacher', 'coef')",,,,,,,,
"('Male teacher', 'se')",,,,,,,,
"('Teacher experience', 'coef')",,,,,,,,
"('Teacher experience', 'se')",,,,,,,,
"(""Master's Degree"", 'coef')",,,,,,,,
"(""Master's Degree"", 'se')",,,,,,,,
School fixed effects,No,,,,No,,,
R2,0.01,,,,0.01,,,
"('Small class', 'coef')",5.59,5.6,5.0,5.06,5.53,5.36,5.17,5.18
"('Small class', 'se')",0.87,0.82,0.79,0.79,0.87,0.81,0.79,0.79
"('Regular/aide class', 'coef')",-0.2,0.04,-0.28,-0.72,-0.59,0.01,-0.02,-0.25
"('Regular/aide class', 'se')",0.83,0.77,0.75,0.75,0.8,0.73,0.71,0.71
"('White/Asian (1 = yes)', 'coef')",,,7.21,7.18,,,7.07,7.04
"('White/Asian (1 = yes)', 'se')",,,1.27,1.27,,,1.26,1.26
"('Girl (1 = yes)', 'coef')",,,3.27,3.27,,,3.29,3.3
"('Girl (1 = yes)', 'se')",,,0.61,0.61,,,0.61,0.61
"('Free lunch (1 = yes)', 'coef')",,,-11.97,-11.9,,,-12.12,-12.07
"('Free lunch (1 = yes)', 'se')",,,0.75,0.75,,,0.75,0.75
"('White teacher', 'coef')",,,,1.08,,,,0.62
"('White teacher', 'se')",,,,1.02,,,,1.02
"('Male teacher', 'coef')",,,,-7.57,,,,-7.01
"('Male teacher', 'se')",,,,1.94,,,,1.94
"('Teacher experience', 'coef')",,,,0.05,,,,0.04
"('Teacher experience', 'se')",,,,0.04,,,,0.04
"(""Master's Degree"", 'coef')",,,,1.9,,,,1.7
"(""Master's Degree"", 'se')",,,,0.76,,,,0.76
School fixed effects,No,Yes,Yes,Yes,No,Yes,Yes,Yes
R2,0.01,0.19,0.24,0.24,0.01,0.19,0.24,0.24
